total leaf samples: 4736
   samples    self%  frame
         1    0.02%  tokio::runtime::blocking::pool::spawn_blocking::<logthing::forwarding::buffered_writer::encode_and_upload::{closure#0}::{closure#1}, core::result::Result<(alloc::vec::Vec<u8>, parquet::format::FileMetaData), anyhow::Error>>
         1    0.02%  <arrow_array::array::primitive_array::PrimitiveArray<arrow_array::types::UInt64Type>>::is_compatible
         1    0.02%  FSE_buildCTable_wksp
         1    0.02%  <tokio::runtime::task::core::Cell<tokio::runtime::blocking::task::BlockingTask<tokio::fs::canonicalize::canonicalize<&std::path::Path>::{closure#0}::{closure#0}>, tokio::runtime::blocking::schedule::BlockingSchedule>>::new
         1    0.02%  <arrow_buffer::buffer::mutable::MutableBuffer>::reallocate
         1    0.02%  parking_lot_core::parking_lot::with_thread_data::<parking_lot_core::parking_lot::ParkResult, parking_lot_core::parking_lot::park<<parking_lot::condvar::Condvar>::wait_until_internal::{closure#0}, <parking_lot::condvar::Condvar>::wait_until_internal::{closure#1}, <parking_lot::condvar::Condvar>::wait_until_internal::{closure#2}>::{closure#0}>
         1    0.02%  <chrono::naive::datetime::NaiveDateTime>::checked_sub_signed
         1    0.02%  <std::sys::net::connection::socket::unix::Socket>::recv_from
         1    0.02%  <logthing::forwarding::buffered_writer::ParquetWriterHandle<logthing::forwarding::ipfix_s3::IpfixSink>>::start_with_stats::{closure#0}::{closure#0}
         1    0.02%  std::sys::io::error::unix::errno
